ID,HomoA,LumoA,GapA,HomoAH,LumoAH,GapAH,HomoAH2,LumoAH2,GapAH2,SMILES,redoxpot1,redoxpot2
027,-5.5023,-3.2166,2.2857,-5.8798,-3.0770,2.8027,-5.7641,-0.3491,5.4150,C1=CC(=O)C(=C(C1=O)N(C)C)N(C)C,0.8394,1.2786
028,-5.4645,-2.6890,2.7755,-5.4825,-2.9246,2.5578,-5.3641,-0.1396,5.2245,C1=C(C(=O)C(=C(C1=O)N(C)C)N(C)C)N(C)C,0.2751,1.0193
029,-5.1606,-2.6844,2.4762,-5.7750,-2.8634,2.9116,-5.7418,-0.2724,5.4694,C1(=C(C(=O)C(=C(C1=O)N(C)C)N(C)C)N(C)C)N(C)C,0.6444,1.2371
030,-6.6139,-3.3214,3.2925,-6.2849,-3.1829,3.1021,-5.8996,-0.0220,5.8776,C1(=C(C(=O)C(=C(C1=O)OC)OC)OC)OC,0.5994,1.2966
032,-7.1747,-3.3108,3.8640,-6.8025,-3.2106,3.5919,-5.5750,-0.0239,5.5510,C1=C(C(=O)C=C(C1=O)OC)OC,0.5812,1.1548
031,-6.8251,-3.3148,3.5102,-6.6278,-3.2264,3.4014,-5.8577,-0.0073,5.8504,C1=C(C(=O)C(=C(C1=O)OC)OC)OC,0.5763,1.2465
033,-6.9350,-3.5064,3.4286,-7.0180,-3.4261,3.5919,-6.0049,-0.2362,5.7687,C1=CC(=O)C(=C(C1=O)OC)OC,0.8528,1.3185
034,-7.0681,-3.4490,3.6191,-6.9780,-3.4950,3.4830,-5.8901,-0.0125,5.8776,C1=C(C(=O)C(=CC1=O)OC)OC,0.6428,1.3903
036,-7.2436,-3.3796,3.8640,-6.8202,-3.2555,3.5646,-5.6310,-0.0800,5.5510,C1(=CC(=O)C(=CC1=O)O)O,0.6560,1.1591
035,-7.2490,-3.4667,3.7823,-6.8237,-3.4767,3.3470,-5.8623,0.1513,6.0136,C1=C(C(=O)C(=CC1=O)O)O,0.6186,1.3916
039,-6.3889,-3.5045,2.8844,-6.0172,-3.3233,2.6939,-5.7856,0.3369,6.1225,C1(=C(C(=O)C(=C(C1=O)O)O)O)O,0.5504,1.0716
