name,pz_C2_pop,px_O_pop,NBO_C_diazo,NBO_N1,NBO_N2,NBO_C_carbonyl,NBO_O,HOMO,ΔG,ΔG_fromAdd,adduct,ΔG-ΔG_O,ΔG_O,ΔG_C_fromDiazo,ΔG_C,ΔG-ΔG_C,BCl3_Role,ΔΔG,Overall performance
19_15,1.11553,1.87668,0.081,0.052000000000000005,0.05,0.519,-0.588,-7.4570000000000025,7.69,24.6,-16.92,7.09,0.59,12.04,28.96,-21.27,1,28.36,7.09
14_3,1.28919,1.8204200000000001,-0.11699999999999999,0.085,0.044000000000000004,0.818,-0.632,-7.75,30.42,36.21,-5.79,5.87,24.55,13.71,19.5,10.92,1,-5.05,10.92
14_5,1.36832,1.8090000000000002,-0.168,0.057999999999999996,0.10300000000000001,0.799,-0.606,-8.08,25.44,27.37,-1.92,-2.62,28.07,9.38,11.3,14.14,1,-16.76,14.14
10_12,1.23079,1.8698299999999999,0.239,0.034,0.055,0.465,-0.611,-7.697,15.43,27.21,-11.78,10.72,4.71,9.22,21.0,-5.57,1,16.29,10.72
13_3,1.28882,1.8246099999999998,-0.11699999999999999,0.084,0.042,0.8190000000000001,-0.633,-7.725,30.32,36.65,-6.33,5.53,24.79,13.79,20.12,10.2,1,-4.67,10.2
9_11,1.3124200000000001,1.84677,-0.14800000000000002,0.11,0.165,0.462,-0.526,-8.219,28.71,31.56,-2.85,9.17,19.54,19.54,22.39,6.32,1,2.85,9.17
11_20,1.26475,1.8419599999999998,-0.07200000000000001,0.09,0.098,0.48100000000000004,-0.578,-6.956,26.79,40.34,-13.55,12.84,13.95,12.02,25.57,1.23,1,11.62,12.84
1_3,1.26064,1.6880400000000002,-0.10300000000000001,0.081,0.040999999999999995,0.36,-0.612,-7.706,30.91,48.93,-18.02,14.86,16.05,14.73,32.75,-1.84,1,16.7,14.86
15_16,1.27231,1.82495,-0.094,0.068,0.026000000000000002,0.693,-0.669,-7.022,33.52,47.91,-14.39,8.71,24.8,11.82,26.22,7.3,1,1.41,8.71
10_3,1.25116,1.88317,-0.075,0.07400000000000001,0.033,0.507,-0.624,-7.642,31.81,43.62,-11.81,12.91,18.9,16.05,27.85,3.96,1,8.95,12.91
2_2,1.2642799999999998,1.71775,-0.102,0.078,0.027000000000000003,0.54,-0.624,-7.609,32.16,48.61,-16.45,11.18,20.98,9.31,25.76,6.4,1,4.78,11.18
4_6,1.3861299999999999,1.8006,-0.28800000000000003,0.067,0.131,0.888,-0.579,-8.281,29.67,27.88,1.79,-5.49,35.16,14.19,14.19,15.49,1,-20.98,15.49
2_7,1.33371,1.86615,-0.23,0.091,0.109,0.557,-0.596,-8.668,35.08,45.19,-10.11,-1.83,36.91,20.55,30.66,4.42,1,-6.25,4.42
